ItemID,ItemName,Category,Price,AvailabilityStatus
M001,Espresso,Coffee,90.0,true
M002,Americano,Coffee,110.0,true
M003,Cappuccino,Coffee,140.0,true
M004,Latte,Coffee,150.0,true
M005,Mocha,Coffee,170.0,false
M006,Cold Coffee,Cold Beverage,160.0,true
M007,Iced Latte,Cold Beverage,170.0,true
M008,Green Tea,Tea,80.0,true
M009,Masala Chai,Tea,70.0,true
M010,Lemon Tea,Tea,85.0,false
M011,Pancakes,Breakfast,180.0,true
M012,French Toast,Breakfast,190.0,true
M013,Omelette Toast,Breakfast,160.0,true
M014,Granola Bowl,Breakfast,210.0,true
M015,Club Sandwich,Snack,220.0,true
M016,Grilled Cheese,Snack,180.0,true
M017,Veg Wrap,Snack,200.0,true
M018,Chicken Wrap,Snack,240.0,true
M019,Garlic Bread,Snack,130.0,true
M020,Blueberry Muffin,Dessert,120.0,true
M021,Chocolate Brownie,Dessert,140.0,true
M022,Cheesecake,Dessert,220.0,true
M023,Red Velvet Pastry,Dessert,190.0,false
M024,Croissant,Bakery,110.0,true
M025,Cinnamon Roll,Bakery,130.0,true
M026,Fresh Orange Juice,Cold Beverage,140.0,true
M027,Strawberry Smoothie,Cold Beverage,190.0,true
M028,Mango Shake,Cold Beverage,180.0,true
M029,Pasta Alfredo,Main Course,280.0,true
M030,Chicken Pasta,Main Course,320.0,true
M031,Veg Burger,Main Course,250.0,true
M032,Chicken Burger,Main Course,290.0,false
M033,Milk Chocolate Waffles,Dessert,240.0,true
M034,Egg Puffs,Snack,100.0,true
